landsat_id,landsat_date,landsat_cloud_pct,s2_id,s2_date,s2_cloud_pct,delta_days,abs_delta_days
1_LC08_192024_20180614,2018-06-14,59.06,20180613T101019_20180613T101424_T32UQD,2018-06-13,99.844166,1,1
1_LC08_192024_20180630,2018-06-30,47.34,20180701T102021_20180701T102404_T32UQD,2018-07-01,39.243559,-1,1
1_LC08_192024_20180716,2018-07-16,13.78,20180716T102019_20180716T102549_T32UQD,2018-07-16,3.327232,0,0
1_LC08_192024_20180801,2018-08-01,4.56,20180731T102021_20180731T102024_T32UQD,2018-07-31,0.845736,1,1
1_LC08_192024_20180817,2018-08-17,1.27,20180817T101021_20180817T101024_T32UQD,2018-08-17,55.800702,0,0
1_LC08_192024_20180902,2018-09-02,95.29,20180901T101019_20180901T101015_T32UQD,2018-09-01,36.35814,1,1
1_LC08_192024_20180918,2018-09-18,2.96,20180919T102021_20180919T102018_T32UQD,2018-09-19,2.572119,-1,1
1_LC08_192024_20181004,2018-10-04,82.22,20181004T102019_20181004T102018_T32UQD,2018-10-04,99.806213,0,0
1_LC08_192024_20181020,2018-10-20,46.45,20181019T102031_20181019T102029_T32UQD,2018-10-19,34.620632,1,1
1_LC08_192024_20181105,2018-11-05,61.11,20181105T101211_20181105T101404_T32UQD,2018-11-05,51.994555,0,0
1_LC08_192024_20190209,2019-02-09,42.29,20190208T101159_20190208T101158_T32UQD,2019-02-08,60.538412,1,1
1_LC08_192024_20190225,2019-02-25,2.92,20190226T102021_20190226T102019_T32UQD,2019-02-26,61.054817,-1,1
1_LC08_192024_20190313,2019-03-13,69.59,20190313T102019_20190313T102552_T32UQD,2019-03-13,52.872425,0,0
1_LC08_192024_20190430,2019-04-30,7.43,20190429T101029_20190429T101238_T32UQD,2019-04-29,98.949107,1,1
1_LC08_192024_20190601,2019-06-01,48.98,20190601T102029_20190601T102031_T32UQD,2019-06-01,14.572522,0,0
1_LC08_192024_20190617,2019-06-17,14.84,20190616T102031_20190616T102027_T32UQD,2019-06-16,89.428061,1,1
1_LC08_192024_20190703,2019-07-03,45.47,20190703T101031_20190703T101051_T32UQD,2019-07-03,95.850748,0,0
1_LC08_192024_20190804,2019-08-04,45.98,20190805T102031_20190805T102440_T32UQD,2019-08-05,88.06447,-1,1
1_LC08_192024_20190820,2019-08-20,72.72,20190820T102029_20190820T102459_T32UQD,2019-08-20,79.453111,0,0
1_LC08_192024_20190905,2019-09-05,66.06,20190904T102021_20190904T102045_T32UQD,2019-09-04,74.548352,1,1
1_LC08_192024_20190921,2019-09-21,0.27,20190921T101031_20190921T101152_T32UQD,2019-09-21,12.381417,0,0
1_LC08_192024_20191007,2019-10-07,2.05,20191006T101029_20191006T101025_T32UQD,2019-10-06,53.021925,1,1
1_LC08_192024_20191023,2019-10-23,46.47,20191024T102111_20191024T102420_T32UQD,2019-10-24,99.974744,-1,1
1_LC08_192024_20191108,2019-11-08,80.04,20191108T102139_20191108T102508_T32UQD,2019-11-08,99.988245,0,0
1_LC08_192024_20191124,2019-11-24,31.58,20191123T102341_20191123T102417_T32UQD,2019-11-23,93.699664,1,1
1_LC08_192024_20191210,2019-12-10,18.94,20191210T101411_20191210T101409_T32UQD,2019-12-10,0.05734,0,0
1_LC08_192024_20200127,2020-01-27,52.3,20200127T102209_20200127T102204_T32UQD,2020-01-27,99.704708,0,0
1_LC08_192024_20200212,2020-02-12,79.31,20200211T102141_20200211T102138_T32UQD,2020-02-11,90.439909,1,1
1_LC08_192024_20200315,2020-03-15,16.05,20200314T101019_20200314T101022_T32UQD,2020-03-14,9.780064,1,1
1_LC08_192024_20200331,2020-03-31,80.06,20200401T102021_20200401T102432_T32UQD,2020-04-01,58.202752,-1,1
1_LC08_192024_20200416,2020-04-16,21.18,20200416T101549_20200416T102015_T32UQD,2020-04-16,33.223824,0,0
1_LC08_192024_20200502,2020-05-02,76.14,20200501T102031_20200501T102420_T32UQD,2020-05-01,81.15007,1,1
1_LC08_192024_20200518,2020-05-18,42.71,20200518T101031_20200518T101258_T32UQD,2020-05-18,99.999653,0,0
1_LC08_192024_20200603,2020-06-03,2.65,20200602T100559_20200602T101204_T32UQD,2020-06-02,0.361835,1,1
1_LC08_192024_20200705,2020-07-05,79.39,20200705T101559_20200705T101917_T32UQD,2020-07-05,85.503639,0,0
1_LC08_192024_20200721,2020-07-21,43.09,20200720T102031_20200720T102321_T32UQD,2020-07-20,72.220949,1,1
1_LC08_192024_20200806,2020-08-06,0.04,20200806T101031_20200806T101511_T32UQD,2020-08-06,3.226877,0,0
1_LC08_192024_20200907,2020-09-07,43.04,20200908T102031_20200908T102027_T32UQD,2020-09-08,92.213066,-1,1
1_LC08_192024_20200923,2020-09-23,22.81,20200923T101649_20200923T102104_T32UQD,2020-09-23,33.680777,0,0
1_LC08_192024_20201009,2020-10-09,90.51,20201008T102031_20201008T102029_T32UQD,2020-10-08,93.926226,1,1
1_LC08_192024_20201025,2020-10-25,19.42,20201025T101121_20201025T101419_T32UQD,2020-10-25,67.909981,0,0
1_LC08_192024_20201110,2020-11-10,91.31,20201109T101239_20201109T101557_T32UQD,2020-11-09,100.0,1,1
1_LC08_192024_20201126,2020-11-26,45.31,20201127T102401_20201127T102424_T32UQD,2020-11-27,89.050974,-1,1
1_LC08_192024_20201212,2020-12-12,84.7,20201212T102329_20201212T102356_T32UQD,2020-12-12,50.402374,0,0
1_LC08_192024_20210129,2021-01-29,97.21,20210128T101159_20210128T101158_T32UQD,2021-01-28,99.605966,1,1
1_LC08_192024_20210214,2021-02-14,55.05,20210215T102121_20210215T102423_T32UQD,2021-02-15,99.999999,-1,1
1_LC08_192024_20210302,2021-03-02,18.12,20210302T101839_20210302T101835_T32UQD,2021-03-02,77.202925,0,0
1_LC08_192024_20210318,2021-03-18,83.73,20210317T102021_20210317T102420_T32UQD,2021-03-17,87.88827,1,1
1_LC08_192024_20210403,2021-04-03,77.88,20210403T101021_20210403T101412_T32UQD,2021-04-03,68.717365,0,0
1_LC08_192024_20210419,2021-04-19,78.93,20210418T100549_20210418T101215_T32UQD,2021-04-18,96.029757,1,1
1_LC08_192024_20210505,2021-05-05,56.65,20210506T102021_20210506T102022_T32UQD,2021-05-06,68.390431,-1,1
1_LC08_192024_20210521,2021-05-21,58.36,20210521T101559_20210521T101655_T32UQD,2021-05-21,42.947248,0,0
1_LC08_192024_20210606,2021-06-06,24.75,20210605T102021_20210605T102024_T32UQD,2021-06-05,17.208704,1,1
1_LC08_192024_20210708,2021-07-08,88.06,20210707T100559_20210707T101548_T32UQD,2021-07-07,99.658158,1,1
1_LC08_192024_20210724,2021-07-24,2.75,20210725T102031_20210725T102548_T32UQD,2021-07-25,71.036769,-1,1
1_LC08_192024_20210809,2021-08-09,62.43,20210809T101559_20210809T102307_T32UQD,2021-08-09,76.064764,0,0
1_LC08_192024_20210825,2021-08-25,48.53,20210824T102031_20210824T102025_T32UQD,2021-08-24,52.457178,1,1
1_LC08_192024_20210910,2021-09-10,6.25,20210910T101031_20210910T101503_T32UQD,2021-09-10,5.82225,0,0
1_LC08_192024_20210926,2021-09-26,7.95,20210925T101019_20210925T101413_T32UQD,2021-09-25,99.450809,1,1
1_LC08_192024_20211012,2021-10-12,86.44,20211013T101951_20211013T102427_T32UQD,2021-10-13,7.571724,-1,1
1_LC08_192024_20211028,2021-10-28,0.17,20211028T102039_20211028T102038_T32UQD,2021-10-28,1.757545,0,0
1_LC08_192024_20211113,2021-11-13,99.94,20211112T102251_20211112T102423_T32UQD,2021-11-12,98.158443,1,1
1_LC08_192024_20220116,2022-01-16,93.02,20220116T102249_20220116T102251_T32UQD,2022-01-16,99.999997,0,0
1_LC08_192024_20220217,2022-02-17,73.05,20220217T101101_20220217T101101_T32UQD,2022-02-17,97.816247,0,0
1_LC08_192024_20220305,2022-03-05,23.64,20220304T101019_20220304T101238_T32UQD,2022-03-04,93.814558,1,1
1_LC08_192024_20220321,2022-03-21,0.08,20220322T101711_20220322T102531_T32UQD,2022-03-22,6.610709,-1,1
1_LC08_192024_20220422,2022-04-22,79.27,20220421T101601_20220421T102238_T32UQD,2022-04-21,100.0,1,1
1_LC08_192024_20220508,2022-05-08,60.17,20220508T100601_20220508T101446_T32UQD,2022-05-08,12.855332,0,0
1_LC08_192024_20220524,2022-05-24,88.73,20220523T100559_20220523T100554_T32UQD,2022-05-23,99.28391,1,1
1_LC08_192024_20220609,2022-06-09,100.0,20220610T101611_20220610T101606_T32UQD,2022-06-10,8.202177,-1,1
1_LC08_192024_20220625,2022-06-25,65.42,20220625T101559_20220625T102253_T32UQD,2022-06-25,91.966057,0,0
1_LC08_192024_20220711,2022-07-11,45.22,20220710T101611_20220710T101820_T32UQD,2022-07-10,91.119623,1,1
1_LC08_192024_20220727,2022-07-27,71.51,20220727T100601_20220727T100930_T32UQD,2022-07-27,96.110612,0,0
